type,legacy type SKIP,legacy_id,title,alias,created,body,in-body image SKIP,field_teaser,field_url,field_social_tw,field_social_fb,field_social_ins,field_image_logo,uri,filemime,field_taxonomy_partner,fid SKIP,height SKIP,width SKIP,alt SKIP,summary SKIP
Partner,core partners,22,Arby's Foundation,,1344368428,"Since 1986, Arby's has been doing good work in the communities they serve every day. The Arby's Foundation is the charitable arm of Arby's Restaurant Group, Inc., and works together with AFA Service Corporation (Arby's Franchise Association), Arby's suppliers and the generosity of Arby's customers and employees to support the foundation's mission to end childhood hunger in America because every child deserves to learn, play and grow. Arby's is partnering with Share Our Strength's No Kid Hungry campaign to help end childhood hunger and ensure children have access to wholesome meals every day.Arby's Foundation will continue to partner with No Kid Hungry through multiple initiatives including, Dine Out for No Kid Hungry, Share Our Strength's Center for Best Practices and local community investment grants. The Arby's Foundation has also invested heavily in the new School's Out, Food's In initiative.For more information on the Arby's Foundation and our partnership, please visit www.arbysfoundation.org.",,"The Arby's Foundation will continue to partner with Share Our Strength through multiple initiatives including Dine Out For No Kid Hungry, Center For Best Practices, State Campaigns and local community investment grants.",,,,,arbysfoundationlogo120x120.png,public://arbysfoundationlogo120x120.png,image/png,,8360,120,120,,"The Arby's Foundation will continue to partner with Share Our Strength through multiple initiatives including Dine Out For No Kid Hungry, Center For Best Practices, State Campaigns and local community investment grants."
Partner,core partners,23,Food Network,,1344368287,"Food Network is pleased to partner with No Kid Hungry, the network's exclusive charity of choice. The network's goal is to be the national voice for No KidHungry, bringing their message home to its millions of viewers. Food Network supports No Kid Hungry through awareness-raising events, public service announcements with its popular chefs, on-the-ground employee volunteers and more.<iframe allowtransparency=""true"" frameborder=""0"" scrolling=""no"" src=""https://www.nokidhungry.org/fb/fn-donate-widget.html"" style=""border:none; overflow:hidden; width:590px; height:400px;""></iframe><a href=""http://foodnetwork.com/hungry"" target=""_blank"">Learn more about Food Network's partnership with No Kid Hungry</a>",,Share Our Strength is Food Network's Official Charity Partner,,,,,NKH_Core_FoodNetwork_120x120.jpg,public://NKH_Core_FoodNetwork_120x120.jpg,image/jpeg,,7783,120,120,,Share Our Strength is Food Network's Official Charity Partner
Partner,core partners,24,Walmart,,1344368266,"In 2010, Walmart designated Share Our Strength as a national partner to end childhood hunger in America, part of its $2 billion commitment over five years to fight hunger in the United States by partnering with leading national anti-hunger organizations. With Walmart's support, Share Our Strength will make an even greater impact on the childhood hunger crisis in the United States through its No Kid Hungry campaign.As a Share Our Strength Core Partner and Cooking Matters national sponsor, Walmart has made an unprecedented commitment to No Kid Hungry and Share Our Strength's Cooking Matters program. This generous support of Cooking Matters provides critical resources needed for Share Our Strength to reach more families in communities nationwide with the skills to shop for and cook healthy food on a budget.",,Walmart designated Share Our Strength as a national partner to end childhood hunger in America,,,,,NKH_Core_Walmart_120x120.jpg,public://NKH_Core_Walmart_120x120.jpg,image/jpeg,,7781,120,120,,
Partner,core partners,412645,Citi,,1418311931,"We are proud to announce Citi as a new Core Partner of Share Our Strength's No Kid Hungry campaign, to help end childhood hunger in America and ensure all children have access to wholesome meals every day. Citi has committed to a multi-million, multi-year investment and will be a presenting sponsor of the Taste of the Nation events, the exclusive presenting sponsor of No Kid Hungry Dinner Series, a sponsor of the No Kid Hungry Starts with Breakfast campaign, and Dine Out for No Kid Hungry. Citi is proud to join Share our Strength's campaign to end childhood hunger, and to give their cardmembers and employees a way to contribute to a cause they care about ��� ensuring that every kid has the foundation they need for a bright future.To learn more about Citi cardmember offers for upcoming No Kid Hungry fundraisers, visit www.citiprivatepass.com.",,,,,,,NKH_Core_Citi_120x120.jpg,public://NKH_Core_Citi_120x120.jpg,image/jpeg,,7785,120,120,,
Partner,Supporters and Other Parters,5702,"Gaby Dalkin - ""What's Gaby Cooking"" blog",content/gaby-dalkin-whats-gaby-cooking-blog,1346268366,,,,,,,,,,,,,,,,
Partner,Supporters and Other Parters,5703,Maggy Keet - Bloggers Without Borders,content/maggy-keet-bloggers-without-borders,1346268566,,,,,,,,,,,,,180,180,,
Partner,Supporters and Other Parters,5704,"Tami Hardeman - ""Running with Tweezers"" blog",content/tami-hardeman-running-tweezers-blog,1346268591,,,,,,,,,,,,,180,180,,
Partner,Supporters and Other Parters,5705,"Steve Dunn - ""Oui, Chef"" blog",content/steve-dunn-oui-chef-blog,1346268611,,,,,,,,,,,,,,,,
Partner,Supporters and Other Parters,5706,The Yum-O! Organization,content/yum-o-organization,1346268822,,,,,,,,,,,,,180,180,,
Partner,Supporters and Other Parters,5710,Pritzker Early Childhood Foundation,content/pritzker-early-childhood-foundation,1346269652,,,,,,,,,,,,,,,,
