Unique ID,SKIP resource name,SKIP download link,SKIP Resource Link,asset ,image,document,SKIP FileType,SKIP Location/Source SKIP,state name,SKIP Migrate or Don't Migrate,SKIP Corporate Resource,SKIP Dine Out Resource,SKIP Blogger,SKIP Local Market,SKIP Additional NKH notes ,SKIP CHIEF Response,Title,SKIP 11/8 CHIEF Notes,Resource Description,Corporate Partner Description,Local Market Description,DineOut description,FileType,Category,SKIP CHIEF Notes 11.8,SKIP NKH Approval 11.8
1,Brad's Story,/uploads/resources/brad_story.png,https://teamdineout.nokidhungry.org/uploads/resources/brad_story.png,brad_story.png,brad_story.png,,png,Only in Database,All States,migrate,yes,yes,,yes,Old resource that was never moved to Dropbox but we wan't to ensure it's migrated to the new resource center. ,"No problem - as long as it's in this list, it will be migrated.",Brad's Story,Migrate,Use a child's story paired with your location and brand to make your affiliation come to life.,,"This is a customizable poster; simply add your business name, location and logo and print. ",,Image,Customizable Kid Story,Customizable Kid Story,
2,Jada's Story,/uploads/resources/Jada_story.png,https://teamdineout.nokidhungry.org/uploads/resources/Jada_story.png,Jada_story.png,Jada_story.png,,png,Only in Database,All States,migrate,yes,yes,,yes,Old resource that was never moved to Dropbox but we wan't to ensure it's migrated to the new resource center. ,"No problem - as long as it's in this list, it will be migrated.",Jada's Story,Migrate,Use a child's story paired with your location and brand to make your affiliation come to life.,,"This is a customizable poster; simply add your business name, location and logo and print. ",,Image,Customizable Kid Story,Customizable Kid Story,
3,Jordan's Story,/uploads/resources/Jordan_story.png,https://teamdineout.nokidhungry.org/uploads/resources/Jordan_story.png,Jordan_story.png,Jordan_story.png,,png,Only in Database,All States,migrate,yes,yes,,yes,Old resource that was never moved to Dropbox but we wan't to ensure it's migrated to the new resource center. ,"No problem - as long as it's in this list, it will be migrated.",Jordan's Story,Migrate,Use a child's story paired with your location and brand to make your affiliation come to life.,,"This is a customizable poster; simply add your business name, location and logo and print. ",,Image,Customizable Kid Story,Customizable Kid Story,
4,Sasha's Story,/uploads/resources/Sasha_story.png,https://teamdineout.nokidhungry.org/uploads/resources/Sasha_story.png,Sasha_story.png,Sasha_story.png,,png,Only in Database,All States,migrate,yes,yes,,yes,Old resource that was never moved to Dropbox but we wan't to ensure it's migrated to the new resource center. ,"No problem - as long as it's in this list, it will be migrated.",Sasha's Story,Migrate,Use a child's story paired with your location and brand to make your affiliation come to life.,,"This is a customizable poster; simply add your business name, location and logo and print. ",,Image,Customizable Kid Story,Customizable Kid Story,
5,$1 = 10 Meals,/uploads/resources/1Dollarequalsto10Meals.png,https://teamdineout.nokidhungry.org/uploads/resources/1Dollarequalsto10Meals.png,1Dollarequalsto10Meals.png,1Dollarequalsto10Meals.png,,png,Only in Database,All States,migrate,yes,yes,,yes,Old resource that was never moved to Dropbox but we wan't to ensure it's migrated to the new resource center. ,"No problem - as long as it's in this list, it will be migrated.",$1 = 10 Meals,Migrate,"Use this language to describe our partnership coupled with your own marketing materials, and the power of just $1. ",,,,Image,Info and Messaging | Employee Engagement/Training,Training Materials,
6,Food Fuels Their Learning,/uploads/resources/food_fuels_their_lives.png,https://teamdineout.nokidhungry.org/uploads/resources/food_fuels_their_lives.png,food_fuels_their_lives.png,food_fuels_their_lives.png,,png,Only in Database,All States,migrate,yes,yes,,yes,Old resource that was never moved to Dropbox but we wan't to ensure it's migrated to the new resource center. ,"No problem - as long as it's in this list, it will be migrated.",Food Fuels Their Learning,Migrate,Use this language to describe our partnership coupled with your own marketing materials.,,,,Image,Point of Purchase Assets,request clarification,
7,Kids Shouldn't Have to Start the Day Hungry,/uploads/resources/kids_should_not_hungry.png,https://teamdineout.nokidhungry.org/uploads/resources/kids_should_not_hungry.png,kids_should_not_hungry.png,kids_should_not_hungry.png,,png,Only in Database,All States,migrate,yes,yes,,yes,Old resource that was never moved to Dropbox but we wan't to ensure it's migrated to the new resource center. ,"No problem - as long as it's in this list, it will be migrated.",Kids Shouldn't Have to Start the Day Hungry,Migrate,Use this language to describe our partnership coupled with your own marketing materials.,,,,Image,Point of Purchase Assets,request clarification,
8,Make Sure Sam Gets the Food She Needs,/uploads/resources/sam_gets_the_food.png,https://teamdineout.nokidhungry.org/uploads/resources/sam_gets_the_food.png,sam_gets_the_food.png,sam_gets_the_food.png,,png,Only in Database,All States,migrate,yes,yes,,yes,Old resource that was never moved to Dropbox but we wan't to ensure it's migrated to the new resource center. ,"No problem - as long as it's in this list, it will be migrated.",Make Sure Sam Gets the Food She Needs,Migrate,Use this language to describe our partnership coupled with your own marketing materials.,,,,Image,Point of Purchase Assets,request clarification,
9,The Next Generation is Being Held Back,/uploads/resources/the_next_generation_is_being_held.png,https://teamdineout.nokidhungry.org/uploads/resources/the_next_generation_is_being_held.png,the_next_generation_is_being_held.png,the_next_generation_is_being_held.png,,png,Only in Database,All States,migrate,yes,yes,,yes,Old resource that was never moved to Dropbox but we wan't to ensure it's migrated to the new resource center. ,"No problem - as long as it's in this list, it will be migrated.",The Next Generation is Being Held Back,Migrate,Use this language to describe our partnership coupled with your own marketing materials.,,,,Image,Point of Purchase Assets,request clarification,
10,Don't Let Hunger Hold Him Back,/uploads/resources/Donot_Let_Hunger_Hold_Him_Back.png,https://teamdineout.nokidhungry.org/uploads/resources/Donot_Let_Hunger_Hold_Him_Back.png,Donot_Let_Hunger_Hold_Him_Back.png,Donot_Let_Hunger_Hold_Him_Back.png,,png,Only in Database,All States,migrate,yes,yes,,yes,Old resource that was never moved to Dropbox but we wan't to ensure it's migrated to the new resource center. ,"No problem - as long as it's in this list, it will be migrated.",Don't Let Hunger Hold Him Back,Migrate,Use this language to describe our partnership coupled with your own marketing materials.,,,,Image,Point of Purchase Assets,request clarification,
11,,Customizable Bounce Back Coupon.zip,,Customizable Bounce Back Coupon.zip,,Customizable Bounce Back Coupon.zip,zip,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Customizable Bounce Back Coupon,Migrate,Use this customizable template for your bounce back coupon promotion.,,,"These customizable materials require a graphic designer to modify before printing. Download the design files to share with your designer or professional printer, or use the convenient online ordering system from our print partner Calagaz Printing. All customized materials must be approved by No Kid Hungry before printing.",Design Files,Point of Purchase Assets,request clarification,
12,,Customizable Donation Card.zip,,Customizable Donation Card.zip,,Customizable Donation Card.zip,zip,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Customizable Donation Card,Migrate,Use this customizable template to recognize guest donations.,,,"These customizable materials require a graphic designer to modify before printing. Download the design files to share with your designer or professional printer, or use the convenient online ordering system from our print partner Calagaz Printing. All customized materials must be approved by No Kid Hungry before printing.",Design Files,Point of Purchase Assets,request clarification,
13,,Customizable Fundraising Goal Poster.zip,,Customizable Fundraising Goal Poster.zip,,Customizable Fundraising Goal Poster.zip,zip,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Customizable Fundraising Goal Poster ,Migrate,Use this customizable template to help incentivize employees to raise funds for No Kid Hungry.,,,"These customizable materials require a graphic designer to modify before printing. Download the design files to share with your designer or professional printer, or use the convenient online ordering system from our print partner Calagaz Printing. All customized materials must be approved by No Kid Hungry before printing.",Design Files,Employee Engagement/Training,request clarification,
14,,Customizable Poster.zip,,Customizable Poster.zip,,Customizable Poster.zip,zip,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Customizable Poster,Migrate,Use this customizable template to promote your Dine Out for No Kid Hungry campaign.,,,"These customizable materials require a graphic designer to modify before printing. Download the design files to share with your designer or professional printer, or use the convenient online ordering system from our print partner Calagaz Printing. All customized materials must be approved by No Kid Hungry before printing.",Design Files,Point of Purchase Assets,request clarification,
